date,equity,cash,positions
2024-07-01,100000.0,100000.0,0
2024-07-02,100000.0,100000.0,0
2024-07-03,100000.0,100000.0,0
2024-07-04,100000.0,100000.0,0
2024-07-05,100000.0,100000.0,0
2024-07-08,100000.0,100000.0,0
2024-07-09,100000.0,100000.0,0
2024-07-10,100000.0,100000.0,0
2024-07-11,100000.0,100000.0,0
2024-07-12,100000.0,100000.0,0
2024-07-15,100000.0,100000.0,0
2024-07-16,100000.0,100000.0,0
2024-07-17,100000.0,100000.0,0
2024-07-18,100000.0,100000.0,0
2024-07-19,100000.0,100000.0,0
2024-07-22,100000.0,100000.0,0
2024-07-23,100000.0,100000.0,0
2024-07-24,100000.0,100000.0,0
2024-07-25,100000.0,100000.0,0
2024-07-26,100000.0,100000.0,0
2024-07-29,100000.0,100000.0,0
2024-07-30,100000.0,100000.0,0
2024-07-31,100000.0,100000.0,0
2024-08-01,100000.0,100000.0,0
2024-08-02,100000.0,100000.0,0
2024-08-05,100000.0,100000.0,0
2024-08-06,100000.0,100000.0,0
2024-08-07,100000.0,100000.0,0
2024-08-08,100000.0,100000.0,0
2024-08-09,100000.0,100000.0,0
2024-08-12,100000.0,100000.0,0
2024-08-13,100000.0,100000.0,0
2024-08-14,100000.0,100000.0,0
2024-08-16,100000.0,100000.0,0
2024-08-19,100000.0,100000.0,0
2024-08-20,100000.0,100000.0,0
2024-08-21,100000.0,100000.0,0
2024-08-22,100000.0,100000.0,0
2024-08-23,100000.0,100000.0,0
2024-08-26,100000.0,100000.0,0
2024-08-27,100000.0,100000.0,0
2024-08-28,100000.0,100000.0,0
2024-08-29,100000.0,100000.0,0
2024-08-30,100000.0,100000.0,0
2024-09-02,100000.0,100000.0,0
2024-09-03,100000.0,100000.0,0
2024-09-04,100000.0,100000.0,0
2024-09-05,100000.0,100000.0,0
2024-09-06,100000.0,100000.0,0
2024-09-09,100000.0,100000.0,0
2024-09-10,100000.0,100000.0,0
2024-09-11,100000.0,100000.0,0
2024-09-12,100000.0,100000.0,0
2024-09-13,100000.0,100000.0,0
2024-09-16,100000.0,100000.0,0
2024-09-17,100000.0,100000.0,0
2024-09-18,100000.0,100000.0,0
2024-09-19,100000.0,100000.0,0
2024-09-20,100000.0,100000.0,0
2024-09-23,100000.0,100000.0,0
2024-09-24,100000.0,100000.0,0
2024-09-25,99956.9049095,90166.9049095,1
2024-09-26,99857.9049095,90166.9049095,1
2024-09-27,99681.9049095,90166.9049095,1
2024-09-30,99489.4049095,90166.9049095,1
2024-10-01,99610.4049095,90166.9049095,1
2024-10-02,99401.4049095,90166.9049095,1
2024-10-03,99538.9049095,90166.9049095,1
2024-10-04,99681.9049095,90166.9049095,1
2024-10-07,99989.9049095,90166.9049095,1
2024-10-08,99852.4049095,90166.9049095,1
2024-10-09,99956.9049095,90166.9049095,1
2024-10-10,100110.9049095,90166.9049095,1
2024-10-11,100066.9049095,90166.9049095,1
