Date,Open,High,Low,Close,Volume
2021-05-26,117.5,120.2,116.4,117.85,91839
2021-05-27,117.5,120.4,117.0,119.65,159399
2021-05-28,120.25,121.0,119.0,120.0,98781
2021-05-31,121.0,121.85,119.45,120.8,55870
2021-06-01,118.9,124.25,118.5,118.8,123534
2021-06-02,119.25,119.9,117.5,117.65,92978
2021-06-04,118.1,119.2,116.1,116.55,124672
2021-06-07,116.5,119.8,115.2,115.6,120826
2021-06-08,116.1,118.6,113.2,118.0,207810
2021-06-09,118.1,119.8,116.3,118.3,126893
2021-06-10,118.0,118.15,114.7,114.85,132233
2021-06-11,115.0,115.8,112.55,112.8,141017
2021-06-14,112.8,114.3,111.85,113.0,150329
2021-06-15,114.0,114.4,106.05,106.8,310800
2021-06-16,106.8,111.0,105.65,110.2,171990
2021-06-17,110.25,110.25,106.1,108.7,165991
2021-06-18,108.95,115.3,108.2,113.05,318642
2021-06-21,112.95,116.0,110.3,114.65,152404
2021-06-22,115.1,116.5,111.9,113.5,174308
2021-06-23,113.95,115.0,112.8,113.6,132430
2021-06-24,113.65,116.2,113.15,116.2,99929
2021-06-25,116.0,116.7,114.75,114.75,119895
2021-06-28,115.45,115.45,112.6,113.7,70025
2021-06-29,114.1,115.2,112.75,113.1,138949
2021-06-30,113.65,115.0,111.55,112.35,160664
2021-07-01,113.8,119.4,112.3,119.0,280211
2021-07-02,119.0,120.1,117.2,119.2,120688
2021-07-05,120.5,121.5,118.2,119.0,101207
2021-07-06,118.0,118.85,116.2,116.6,97120
2021-07-07,117.65,121.5,116.75,121.4,200979
2021-07-08,121.2,121.3,117.9,118.05,84720
2021-07-09,119.35,119.5,117.2,119.5,70094
2021-07-12,119.2,120.8,118.2,120.8,128792
2021-07-13,120.95,124.2,120.2,124.1,320055
2021-07-14,124.2,130.0,123.8,128.6,410234
2021-07-15,128.1,128.1,125.3,126.1,132051
2021-07-16,126.15,126.75,124.7,125.65,136206
2021-07-19,125.15,125.15,119.25,120.65,199955
2021-07-20,120.65,122.25,119.95,120.55,168266
2021-07-21,120.6,125.8,120.6,125.05,101787
2021-07-22,124.65,125.95,124.6,125.6,77874
2021-07-23,125.8,125.9,124.6,124.9,80048
2021-07-26,125.0,125.9,124.6,125.1,121878
2021-07-27,125.3,125.35,121.8,122.2,213555
2021-07-28,121.8,124.5,121.8,123.0,92824
2021-07-29,123.0,123.6,120.15,122.45,106597
2021-07-30,121.8,122.4,119.45,121.55,104344
2021-08-02,122.4,124.5,122.3,123.55,122273
2021-08-03,125.0,126.1,119.5,119.65,291711
2021-08-04,120.4,124.8,120.05,122.35,114707
2021-08-05,122.55,124.9,120.2,124.9,124648
2021-08-06,124.65,125.2,123.2,124.6,94144
2021-08-09,124.95,125.2,123.3,124.0,73599
2021-08-10,124.8,125.6,123.35,125.15,67701
2021-08-11,125.0,125.25,121.6,122.45,63525
